Format,Extensions,Result,Big?,Folder in test_images_good,Folder in from_skyking,Notes,Date,Tester,Server (howe / gretzky),Build Version• ,OS  if relevant,Summary of what was tested,Documents/Screenshots on squig**,Comment / Bug / Other?
Openlab LIFF,liff,,No,openlab,openlab,"embryo2.liff results in two images:
 - one has correct (3 channel 33z), 
 -The second Image is expected to have SizeC = 1.  It looks wrong, but is 
correct with respect to the metadata that is in the file.",,,,,,,,
Openlab RAW,raw,,No,openlab-raw,openlab-raw,,,,,,,,,
Oxford Instruments,top,,No,oxford-instruments,sxm/steve/Oxford Instr (Yoshimasa),Image from Test image good: expected value is size: 90x1,,,,,,,,
PCX,pcx,,No,pcx,pcx,,,,,,,,,
Perkin Elmer Densitometer,"hdr, img",,No,perkinelmer-densitometer,perkinelmer-densitometer,"No physical pixel size for DP1190.tif and a different physical pixel 
size PT1173A001.tif than for other formats. Expected: tiff converted and
 metadata lost",,,,,,,,
PerkinElmer Operetta,"tif, tiff, xml",, Plate,perkinelmer-operetta,perkinelmer-operetta,,,,,,,,,
Portable Gray Map,pgm,,No,pgm,OMERO_Test_Images/PGM,,,,,,,,,
PICT,"pict, pct",,No,pict,"pict, sxm/steve/PICT
",,,,,,,,,
Animated PNG,png,,No,png,apng,"the animated PNG is png/Matrix.png, so if you imported everything in the 'png' folder then it's all set",,,,,,,,
POV-Ray,df3,,No,povray,povray,,,,,,,,,
Prairie TIFF,"tif, tiff, cfg, xml",,No,prairie,prairie,,,,,,,,,
Adobe Photoshop,psd,,No,psd,psd,,,,,,,,,
Pyramid TIFF,N/A,,yes,pyramid,test_per_commit/pyramid,Uses sub-resolutions.,,,,,,,,
Quesant AFM,afm,,No,quesant,sxm/steve/Quesant Instr,,,,,,,,,
QuickTime,mov,,No,quicktime,quicktime,,,,,,,,,
RHK Technologies,"sm2, sm3",,No,rhk,sxm/steve/RHK Tech,,,,,,,,,
SBIG,,,No,sbig,sxm/steve/SBIG,,,,,,,,,
Olympus ScanR,"dat, xml, tif",,Plate,scanr,scanr,,,,,,,,,
SPCImage Data,sdt,,No,sdt,sdt,"We currently use channels to store the 256 ""bins"". In the viewer we only display one channel at a time and use a lifetime slider (L:)",,,,,,,,
Seiko,"xqd, xqf",,No,seiko,sxm/steve/Seiko Instr,,,,,,,,,
Compix Simple-PCI,cxd,,No,simplepci,simplepci,,,,,,,,,
SimplePCI TIFF,"tif, tiff",,No,simplepci,simplepci,,,,,,,,,
Olympus SIS TIFF,"tif, tiff",,No,sis,sis,,,,,,,,,
Olympus Slidebook,"sld, spl",,No,slidebook,slidebook,,,,,,,,,
SM Camera,,,No,sm-camera,sxm/steve/SM-Camera,,,,,,,,,
SPIDER,spi,,No,spider,spider,,,,,,,,,
Metamorph STK,"stk, nd, tif, tiff",,Plate,stk,metamorph,,,,,,,,,
Aperio SVS,svs,,Yes,svs,svs,Uses sub-resolutions.,,,,,,,,
Truevision Targa,tga,,No,targa,targa,,,,,,,,,
Text,"txt, csv",,No,text,text,,,,,,,,,
Adobe Photoshop TIFF,"tif, tiff",,No,tiff,tiff,,,,,,,,,
Tagged Image File Format,"tif, tiff, tf2, tf8, btf",,No,tiff,tiff,Uses sub-resolutions for JPEG2000 data.,,,,,,,,
TillVision,"vws, pst, inf",,No,tillvision,tillvision,,,,,,,,,
TopoMetrix,"tfr, ffr, zfr, zfp, 2fl",,No,topometrix,"sxm/steve/TopoMetrix
",,,,,,,,,
Trestle,tif,,Yes,"trestle
",trestle,,,,,,,,,
UBM,pr3,,No,ubm,sxm/steve/UBM (Rosset),uint32 (display not supported),,,,,,,,
PerkinElmer,"ano, cfg, csv, htm, rec, tim, zpo, tif",,No,ultraview,ultraview,,,,,,,,,
Unisoku STM,"hdr, dat",,No,unisoku,sxm/steve/Unisoku (Takashi),,,,,,,,,
Varian FDF,fdf,,No,varian-mri,varian-mri,float (display not correctly supported),,,,,,,,
VG SAM,dti,,No,vg-sam,sxm/steve/VG SAM (Karen),,,,,,,,,
Visitech XYS,"xys, html",,No,visitech (xys only),visitech,,,,,,,,,
Volocity Library Clipping,acff,,No,volocity,volocity,,,,,,,,,
Volocity Library,"mvd2, aisf, aiix, dat, atsf",,No,volocity,volocity,,,,,,,,,
WA Technology TOP,wat,,No,watech,"sxm/steve/WA Technology/WA Tech (Vladimir)/TOPSystem II, sxm/steve/WA Technology/WA Tech (Adrian Jones)",,,,,,,,,
Zeiss CZI,czi,,No,zeiss-czi,zeiss-czi,,,,,,,,,
Zeiss Laser-Scanning Microscopy,"lsm, mdb",,No,"zeiss-lsm, zeiss-lsm-martin",zeiss-lsm,,,,,,,,,
Zeiss TIFF,tif,,no,zeiss-tiff,zeiss-tiff,,,,,,,,,
Zeiss Vision Image (ZVI),zvi,,No,zeiss-zvi,zeiss-zvi,,,,,,,,,
Zip,zip,,No,zip,zip,,,,,,,,,
